Code,Site,iniLoc,ExtIPs,Choco
AAIHB,Albuquerque Area Indian Health Board,http://download.ambitionsgroup.com/Sites/AAIHB/AAIHB_SaazMobile.ini,173.12.204.205,
ACG,Ambitions Consulting Group,http://download.ambitionsgroup.com/Sites/ACG/ACG_SaazMobile.ini,216.31.88.98,
ALF,Archibeque Law Firm,http://download.ambitionsgroup.com/Sites/ALF/ALF_SaazMobile.ini,65.153.84.154,
EES,Enterprise Electrical Services,http://download.ambitionsgroup.com/Sites/EES/EES_SaazMobile.ini,23.31.118.53,
JAL,Jeff Albright Law,http://download.ambitionsgroup.com/Sites/JAL/JAL_SaazMobile.ini,207.224.144.50,
KAEHR,Kaehr Corporation,http://download.ambitionsgroup.com/Sites/KAEHR/KAEHR_SaazMobile.ini,96.88.4.241,
BFL,Batley Family Law,http://download.ambitionsgroup.com/Sites/LGTB/LGTB_SaazMobile.ini,96.92.77.61 100.97.97.176,
LWH,Lifts West Condominium Resort Hotel,http://download.ambitionsgroup.com/Sites/LWH/LWH_SaazMobile.ini,216.158.240.215,
MBI,Murphy Builders Inc.,http://download.ambitionsgroup.com/Sites/MBI/MBI_SaazMobile.ini,50.79.222.225,
MWT,Mark W. Taylor & Associates,http://download.ambitionsgroup.com/Sites/MWT/MWT_SaazMobile.ini,199.30.85.141 69.92.144.64,
NMAG,New Mexico Attorney General's Office,http://download.ambitionsgroup.com/Sites/NMAGO/NMAGO_SaazMobile.ini,63.225.9.82 216.31.123.34 96.92.78.69 209.181.113.154 209.181.113.146 173.12.207.137,
NMC,New Mexico Counties,http://download.ambitionsgroup.com/Sites/NMC/NMC_SaazMobile.ini,206.169.65.254 216.234.200.98 205.159.154.74 205.159.154.75 63.229.160.90 63.229.160.89,
PBCRS,Paul Baca Professional Court Reporters,http://download.ambitionsgroup.com/Sites/PBCRS/PBCRS_SaazMobile.ini,,
PBWS,Pregenzer Baysinger Wideman & Sale P.C.,http://download.ambitionsgroup.com/Sites/PBWS/PBWS_SaazMobile.ini,96.92.65.101 207.114.182.34,
PE,Perikin Enterprises LLC,http://download.ambitionsgroup.com/Sites/PE/PE_SaazMobile.ini,73.26.5.188,
PHM,Peifer Hanson Mullins & Baker P.A.,http://download.ambitionsgroup.com/Sites/PHM/PHM_SaazMobile.ini,216.31.88.174 209.203.125.82,
QLHC,Questa Lumber & Hardware Co.,http://download.ambitionsgroup.com/Sites/QLHC/QLHC_SaazMobile.ini,0.0.0.0,
RRA,Robles Rael and Anaya P.C.,http://download.ambitionsgroup.com/Sites/RRA/RRA_SaazMobile.ini,216.31.88.46 96.92.65.217 70.88.163.21,
SSJ,Salazar Sullivan & Jasionowski,http://download.ambitionsgroup.com/Sites/SSJ/SSJ_SaazMobile.ini,70.88.160.73 216.31.116.42,
TCNM,Torrance County,http://download.ambitionsgroup.com/Sites/TCNM/TCNM_SaazMobile.ini,216.243.102.251 74.50.145.250,
TLF,The Turner Law Firm,http://download.ambitionsgroup.com/Sites/TLF/TLF_SaazMobile.ini,216.31.88.182,
TRR,Town of Red River,http://download.ambitionsgroup.com/Sites/TRR/TRR_SaazMobile.ini,216.158.242.50 75.161.54.226 75.161.82.27 216.158.242.51 216.158.242.52,
VOQ,Village of Questa,http://download.ambitionsgroup.com/Sites/VOQ/VOQ_SaazMobile.ini,216.158.240.149 216.158.243.33,
VTSV,Village of Taos Ski Valley,http://download.ambitionsgroup.com/Sites/VTSV/VTSV_SaazMobile.ini,209.188.116.35,
WFL,Walther Family Law,http://download.ambitionsgroup.com/Sites/WFL/WFL_SaazMobile.ini,207.108.252.34 173.163.243.117 173.163.241.57,